PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1.24871730804443E-05,-34.4633827209473,-61.7702140808105,7,0,0,0
2,0,0,-1.17838062578812E-05,-33.6048774719238,-61.2574081420898,7,0,0,0
3,0,0,-1.10804394353181E-05,-32.7463722229004,-60.7446022033691,7,0,0,0
4,0,0,-1.0377072612755E-05,-31.8878688812256,-60.2317924499512,7,0,0,0
5,0,0,-9.68297354120295E-06,-31.0397186279297,-59.7029609680176,7,0,0,0
6,0,0,-9.01376461115433E-06,-30.2193660736084,-59.131103515625,7,0,0,0
7,0,0,-8.3445565906004E-06,-29.3990135192871,-58.5592460632324,7,0,0,0
8,0,0,-7.67534857004648E-06,-28.5786609649658,-57.9873886108398,7,0,0,0
9,0,0,-6.96426013746532E-06,-27.7546710968018,-57.420783996582,7,0,0,0
10,0,0,-6.25213579041883E-06,-26.9305934906006,-56.8543090820313,7,0,0,0
11,0,0,-5.5400118981197E-06,-26.1065158843994,-56.2878341674805,7,0,0,0
12,0,0,-4.90300180899794E-06,-25.2964649200439,-55.7017211914063,7,0,0,0
13,0,0,-4.30303407483734E-06,-24.4933319091797,-55.1059226989746,7,0,0,0
14,0,0,-3.70306679542409E-06,-23.6901988983154,-54.510124206543,7,0,0,0
15,0,0,-3.060331209781E-06,-22.8886299133301,-53.9122276306152,7,0,0,0
16,0,0,-2.351060629735E-06,-22.0894947052002,-53.3110771179199,7,0,0,0
17,0,0,-1.64179027706268E-06,-21.2903614044189,-52.7099227905273,7,0,0,0
18,0,0,-9.48152148794179E-07,-20.4967765808105,-52.1019592285156,7,0,0,0
19,0,0,-3.76174511984573E-07,-19.7463798522949,-51.4409713745117,7,0,0,0
20,0,0,1.95803124825034E-07,-18.9959850311279,-50.7799835205078,7,0,0,0
21,0,0,7.67780079513614E-07,-18.2455902099609,-50.1189956665039,7,0,0,0
22,0,0,1.46659601796273E-06,-17.4813594818115,-49.4740982055664,7,0,0,0
23,0,0,2.18215245695319E-06,-16.7152996063232,-48.8313293457031,7,0,0,0
24,0,0,2.89770878225681E-06,-15.9492416381836,-48.1885566711426,7,0,0,0
25,0,0,3.60183594239061E-06,-15.2337465286255,-47.4921798706055,7,0,0,0
26,0,0,4.29938609158853E-06,-14.547345161438,-46.7649574279785,7,0,0,0
27,0,0,4.9969357860391E-06,-13.8609428405762,-46.0377349853516,7,0,0,0
28,0,0,5.66885000807815E-06,-13.1599779129028,-45.3249282836914,7,0,0,0
29,0,0,6.30684462521458E-06,-12.4397439956665,-44.6311988830566,7,0,0,0
30,0,0,6.94483924235101E-06,-11.7195100784302,-43.9374656677246,7,0,0,0
31,0,0,7.57202133172541E-06,-11.0166044235229,-43.2276840209961,7,0,0,0
32,0,0,8.15785369923105E-06,-10.3799629211426,-42.4565238952637,7,0,0,0
33,0,0,8.74368561198935E-06,-9.74332141876221,-41.6853637695313,7,0,0,0
34,0,0,9.32955936150393E-06,-9.10673999786377,-40.9141540527344,7,0,0,0
35,0,0,9.93294452200644E-06,-8.49550151824951,-40.1227073669434,7,0,0,0
36,0,0,1.05363305920037E-05,-7.88426303863525,-39.3312606811523,7,0,0,0
37,0,0,1.11397157525062E-05,-7.27302408218384,-38.5398139953613,7,0,0,0
38,0,0,1.1667340004351E-05,-6.70557594299316,-37.716869354248,7,0,0,0
39,0,0,1.2175055417174E-05,-6.14963531494141,-36.8856468200684,7,0,0,0
40,0,0,1.26827717394917E-05,-5.59369468688965,-36.0544242858887,7,0,0,0
41,0,0,1.28163492263411E-05,-5.04998445510864,-35.2152481079102,7,0,0,0
42,0,0,1.26600725707249E-05,-4.51574993133545,-34.3699111938477,7,0,0,0
43,0,0,1.25037968246033E-05,-3.9815149307251,-33.5245742797852,7,0,0,0
44,0,0,1.2365531802061E-05,-3.46082139015198,-32.6711387634277,7,0,0,0
45,0,0,1.22652763820952E-05,-2.96870446205139,-31.800609588623,7,0,0,0
46,0,0,1.21650209621293E-05,-2.47658753395081,-30.9300804138184,7,0,0,0
47,0,0,1.206476099469E-05,-1.98383831977844,-30.0599155426025,7,0,0,0
48,0,0,1.19644046208123E-05,-1.47946918010712,-29.1964282989502,7,0,0,0
49,0,0,1.18640482469345E-05,-0.975100219249725,-28.3329391479492,7,0,0,0
50,0,0,1.17636918730568E-05,-0.470730900764465,-27.4694519042969,7,0,0,0
51,0,0,1.16432338472805E-05,-0.0114635527133942,-26.5815601348877,7,0,0,0
52,0,0,1.15172697405797E-05,0.435450702905655,-25.6869831085205,7,0,0,0
53,0,0,1.13913047243841E-05,0.882365047931671,-24.7924060821533,7,0,0,0
54,0,0,1.12866773633868E-05,1.32822489738464,-23.8973045349121,7,0,0,0
55,0,0,1.12058542072191E-05,1.77290797233582,-23.0016174316406,7,0,0,0
56,0,0,1.11250301415566E-05,2.21759080886841,-22.1059303283691,7,0,0,0
57,0,0,1.10457967821276E-05,2.65300512313843,-21.2060165405273,7,0,0,0
58,0,0,1.0975290024362E-05,3.03754329681396,-20.2829074859619,7,0,0,0
59,0,0,1.09047832665965E-05,3.4220814704895,-19.3597984313965,7,0,0,0
60,0,0,1.0834276508831E-05,3.80661940574646,-18.4366893768311,7,0,0,0
61,0,0,1.07717887658509E-05,4.13917303085327,-17.4940853118896,7,0,0,0
62,0,0,1.0711661161622E-05,4.45642614364624,-16.5457439422607,7,0,0,0
63,0,0,1.06515344668878E-05,4.77367973327637,-15.5974035263062,7,0,0,0
64,0,0,1.06017314465134E-05,5.10080337524414,-14.6525554656982,7,0,0,0
65,0,0,1.05756744233076E-05,5.4506311416626,-13.7157411575317,7,0,0,0
66,0,0,1.05496174001019E-05,5.80045890808105,-12.7789268493652,7,0,0,0
67,0,0,1.05235603768961E-05,6.15028619766235,-11.8421125411987,7,0,0,0
68,0,0,1.05352601167397E-05,6.48707580566406,-10.9005479812622,7,0,0,0
69,0,0,1.05525123217376E-05,6.82194805145264,-9.95828437805176,7,0,0,0
70,0,0,1.05697645267355E-05,7.15682029724121,-9.01602077484131,7,0,0,0
71,0,0,1.0586728421913E-05,7.45363140106201,-8.06224346160889,7,0,0,0
72,0,0,1.0603291229927E-05,7.69719934463501,-7.09235954284668,7,0,0,0
73,0,0,1.06198531284463E-05,7.94076728820801,-6.12247562408447,7,0,0,0
74,0,0,1.06364159364603E-05,8.18433475494385,-5.15259170532227,7,0,0,0
75,0,0,1.06394290924072E-05,8.4490966796875,-4.18833351135254,7,0,0,0
76,0,0,1.06394290924072E-05,8.71857261657715,-3.22532653808594,7,0,0,0
77,0,0,1.06394290924072E-05,8.9880485534668,-2.26231956481934,7,0,0,0
78,0,0,1.06373390735826E-05,9.24074172973633,-1.29521667957306,7,0,0,0
79,0,0,1.06292427517474E-05,9.44518661499023,-0.316338717937469,7,0,0,0
80,0,0,1.06211464299122E-05,9.64963245391846,0.662539184093475,7,0,0,0
81,0,0,1.06130491985823E-05,9.85407829284668,1.64141726493835,7,0,0,0
82,0,0,1.05524168247939E-05,10.0825576782227,2.61473703384399,7,0,0,0
83,0,0,1.04533146441099E-05,10.3286361694336,3.58398699760437,7,0,0,0
84,0,0,1.03542133729206E-05,10.5747146606445,4.55323696136475,7,0,0,0
85,0,0,1.02551111922367E-05,10.8207931518555,5.52248668670654,7,0,0,0
86,0,0,1.02519989013672E-05,11.0000524520874,6.50621128082275,7,0,0,0
87,0,0,1.02519989013672E-05,11.1771450042725,7.49040555953979,7,0,0,0
88,0,0,1.02519989013672E-05,11.3542366027832,8.47459983825684,7,0,0,0
89,0,0,1.02431895356858E-05,11.530327796936,9.45897197723389,7,0,0,0
90,0,0,1.02035673990031E-05,11.702917098999,10.4439659118652,7,0,0,0
91,0,0,1.01639443528256E-05,11.8755054473877,11.4289598464966,7,0,0,0
92,0,0,1.01243222161429E-05,12.0480947494507,12.4139537811279,7,0,0,0
93,0,0,1.00994147942401E-05,12.203351020813,13.4016466140747,7,0,0,0
94,0,0,1.00916759038228E-05,12.3383874893188,14.3924875259399,7,0,0,0
95,0,0,1.00839370134054E-05,12.4734239578247,15.3833284378052,7,0,0,0
96,0,0,1.00761972134933E-05,12.6084604263306,16.3741683959961,7,0,0,0
97,0,0,1.00825827757944E-05,12.7390079498291,17.3656044006348,7,0,0,0
98,0,0,1.00979705166537E-05,12.8666944503784,18.3574180603027,7,0,0,0
99,0,0,1.0113358257513E-05,12.9943809509277,19.3492317199707,7,0,0,0
100,0,0,1.01287459983723E-05,13.1220674514771,20.3410453796387,7,0,0,0
101,0,0,1.01272089523263E-05,13.2326631546021,21.3348579406738,7,0,0,0
102,0,0,1.01196392279235E-05,13.3371658325195,22.329381942749,7,0,0,0
103,0,0,1.01120695035206E-05,13.441668510437,23.3239059448242,7,0,0,0
104,0,0,1.01044997791178E-05,13.5461702346802,24.3184299468994,7,0,0,0
105,0,0,1.00910801847931E-05,13.631799697876,25.3147125244141,7,0,0,0
106,0,0,1.00761999419774E-05,13.7127151489258,26.3114337921143,7,0,0,0
107,0,0,1.00613196991617E-05,13.7936305999756,27.3081550598145,7,0,0,0
108,0,0,1.0046439456346E-05,13.8745460510254,28.3048763275146,7,0,0,0
109,0,0,1.00551678769989E-05,13.9532480239868,29.3017730712891,7,0,0,0
110,0,0,1.00699999165954E-05,14.0313777923584,30.2987155914307,7,0,0,0
111,0,0,1.00848319561919E-05,14.10950756073,31.2956581115723,7,0,0,0
112,0,0,1.00996639957884E-05,14.1876363754272,32.2926025390625,7,0,0,0
113,0,0,1.01365594673553E-05,14.2371215820313,33.291259765625,7,0,0,0
114,0,0,1.0179825949308E-05,14.2783355712891,34.2904090881348,7,0,0,0
115,0,0,1.0223091521766E-05,14.3195495605469,35.2895584106445,7,0,0,0
116,0,0,1.02663580037188E-05,14.3607635498047,36.2887077331543,7,0,0,0
117,0,0,1.03046677395469E-05,14.391429901123,37.2882080078125,7,0,0,0
118,0,0,1.03402271633968E-05,14.4162406921387,38.287899017334,7,0,0,0
119,0,0,1.0375785677752E-05,14.4410514831543,39.2875900268555,7,0,0,0
120,0,0,1.04113451016019E-05,14.4658613204956,40.287281036377,7,0,0,0
121,0,0,1.04123309938586E-05,14.4672269821167,41.2869491577148,7,0,0,0
122,0,0,1.03714892247808E-05,14.4402275085449,42.2865829467773,7,0,0,0
123,0,0,1.0330647455703E-05,14.4132280349731,43.2862167358398,7,0,0,0
124,0,0,1.02898056866252E-05,14.3862295150757,44.2858505249023,7,0,0,0
125,0,0,1.02514995887759E-05,14.3581762313843,45.2854499816895,7,0,0,0
126,0,0,1.02447856988874E-05,14.3169927597046,46.2846031188965,7,0,0,0
127,0,0,1.02380718089989E-05,14.2758092880249,47.2837562561035,7,0,0,0
128,0,0,1.02313579191105E-05,14.2346258163452,48.2829093933105,7,0,0,0
129,0,0,1.02246431197273E-05,14.1934432983398,49.2820625305176,7,0,0,0
130,0,0,1.02221965789795E-05,14.1354446411133,50.2802963256836,7,0,0,0
131,0,0,1.02221965789795E-05,14.0678043365479,51.2780075073242,7,0,0,0
132,0,0,1.02221965789795E-05,14.0001640319824,52.2757186889648,7,0,0,0
133,0,0,1.02221965789795E-05,13.9325227737427,53.2734298706055,7,0,0,0
134,0,0,1.02221965789795E-05,13.8636322021484,54.2710456848145,7,0,0,0
135,0,0,1.02221965789795E-05,13.7807731628418,55.2676086425781,7,0,0,0
136,0,0,1.02221965789795E-05,13.6979141235352,56.2641716003418,7,0,0,0
137,0,0,1.02221965789795E-05,13.6150550842285,57.2607345581055,7,0,0,0
138,0,0,1.02221965789795E-05,13.5321960449219,58.2572975158691,7,0,0,0
139,0,0,1.02221965789795E-05,13.4401159286499,59.2529983520508,7,0,0,0
140,0,0,1.02221965789795E-05,13.3370380401611,60.247673034668,7,0,0,0
141,0,0,1.02221965789795E-05,13.2339601516724,61.2423477172852,7,0,0,0
142,0,0,1.02221965789795E-05,13.1308822631836,62.2370223999023,7,0,0,0
143,0,0,1.02221965789795E-05,13.0278043746948,63.2316970825195,7,0,0,0
144,0,0,1.02221965789795E-05,13,63.5,7,0,0,0
145,0,0,1.02233880170388E-05,16.3179759979248,63.6479873657227,7,0,0,0
146,0,0,1.02233880170388E-05,16.3906230926514,62.6506309509277,7,0,0,0
147,0,0,1.02233880170388E-05,16.4632701873779,61.6532745361328,7,0,0,0
148,0,0,1.02233880170388E-05,16.5359153747559,60.6559181213379,7,0,0,0
149,0,0,1.02233880170388E-05,16.6085624694824,59.658561706543,7,0,0,0
150,0,0,1.02233880170388E-05,16.6991424560547,58.6626739501953,7,0,0,0
151,0,0,1.02233880170388E-05,16.7898406982422,57.6667938232422,7,0,0,0
152,0,0,1.02233880170388E-05,16.8805389404297,56.6709136962891,7,0,0,0
153,0,0,1.02233880170388E-05,16.9711132049561,55.6750259399414,7,0,0,0
154,0,0,1.02233880170388E-05,17.0209846496582,54.67626953125,7,0,0,0
155,0,0,1.02233880170388E-05,17.070858001709,53.6775131225586,7,0,0,0
156,0,0,1.02233880170388E-05,17.1207294464111,52.6787567138672,7,0,0,0
157,0,0,1.02233880170388E-05,17.1699085235596,51.6799697875977,7,0,0,0
158,0,0,1.02233880170388E-05,17.2099857330322,50.6807746887207,7,0,0,0
159,0,0,1.02233880170388E-05,17.2500629425049,49.6815795898438,7,0,0,0
160,0,0,1.02233880170388E-05,17.2901401519775,48.6823844909668,7,0,0,0
161,0,0,1.02258536571753E-05,17.3339881896973,47.6833801269531,7,0,0,0
162,0,0,1.02400354080601E-05,17.3957576751709,46.6852912902832,7,0,0,0
163,0,0,1.02542171589448E-05,17.4575271606445,45.6872024536133,7,0,0,0
164,0,0,1.02683989098296E-05,17.5192966461182,44.6891136169434,7,0,0,0
165,0,0,1.02914218587102E-05,17.5604553222656,43.6904716491699,7,0,0,0
166,0,0,1.03357278931071E-05,17.5520076751709,42.6905059814453,7,0,0,0
167,0,0,1.03800330180093E-05,17.5435600280762,41.6905403137207,7,0,0,0
168,0,0,1.04243390524061E-05,17.5351142883301,40.6905746459961,7,0,0,0
169,0,0,1.04252503660973E-05,17.5196208953857,39.6907234191895,7,0,0,0
170,0,0,1.03787597254268E-05,17.4964294433594,38.6909942626953,7,0,0,0
171,0,0,1.03322690847563E-05,17.473237991333,37.6912612915039,7,0,0,0
172,0,0,1.02857784440857E-05,17.4500465393066,36.6915321350098,7,0,0,0
